2.000000000E-1	7.282936053E-5	2.487754660E-5	1.525878906E+0	5.924447753E-4	-1.800000000E+2	2.177191580E-4	-1.800000000E+2
4.000000000E-1	7.290997669E-5	2.505805366E-5	3.051757812E+0	5.780385994E-4	-1.602150292E+2	2.067676716E-4	-1.593908141E+2
6.000000000E-1	7.348623961E-5	2.502036525E-5	4.577636719E+0	5.344460752E-4	-1.407729887E+2	1.785001319E-4	-1.416315156E+2
8.000000000E-1	7.397089192E-5	2.490760316E-5	6.103515625E+0	4.644229967E-4	-1.227587201E+2	1.459143612E-4	-1.299549029E+2
1.000000000E+0	7.422636858E-5	2.492193350E-5	7.629394531E+0	3.821129702E-4	-1.084948110E+2	1.255688700E-4	-1.251418326E+2
1.200000000E+0	7.431915328E-5	2.503083909E-5	9.155273437E+0	3.173280209E-4	-1.004412016E+2	1.226541936E-4	-1.203533721E+2
1.400000000E+0	7.430187905E-5	2.489940352E-5	1.068115234E+1	2.979094224E-4	-9.537451568E+1	1.242363046E-4	-1.095276630E+2
1.600000000E+0	7.423452669E-5	2.458199325E-5	1.220703125E+1	3.110693928E-4	-8.448782900E+1	1.179407779E-4	-9.457371749E+1
1.800000000E+0	7.421039945E-5	2.444573618E-5	1.373291016E+1	3.186749560E-4	-6.571108067E+1	1.027938751E-4	-7.995354699E+1
2.000000000E+0	7.445708681E-5	2.457324898E-5	1.525878906E+1	3.004690213E-4	-4.225015643E+1	8.685504231E-5	-6.916278887E+1
2.200000000E+0	7.462811423E-5	2.462805467E-5	1.678466797E+1	2.607037784E-4	-1.759019042E+1	7.904443235E-5	-6.011336067E+1
2.400000000E+0	7.462639636E-5	2.454128488E-5	1.831054687E+1	2.190961808E-4	5.350227114E+0	7.777702035E-5	-4.436052698E+1
2.600000000E+0	7.453706044E-5	2.457120828E-5	1.983642578E+1	1.988629236E-4	2.626563055E+1	7.405194279E-5	-1.730409057E+1
