Position (um),2H Intensity (a.u.),3H Intensity (a.u.),Wavenumber (cm^-1),2H Amplitude (a.u.),2H Phase (deg),3H Amplitude (a.u.),3H Phase (deg)
11.8,0.0001007914,1.436581266E-05,45.01342773,0.0001917457,44.75372056,5.716238944E-05,-33.43289329
12,0.0001009741,1.37113197E-05,45.77636719,0.0002092081,45.52693988,6.589979849E-05,-22.5430345
12.2,0.0001011757,1.348628751E-05,46.53930664,0.0002253235,49.64607625,7.252964452E-05,-10.86101324
12.4,0.0001013565,1.34487208E-05,47.30224609,0.0002322873,54.28633709,7.56006071E-05,0.5618640217
12.6,0.000101365,1.388218752E-05,48.06518555,0.0002351057,56.74029957,0.000074901,10.14925557
12.8,0.0001016056,1.490272471E-05,48.828125,0.000248333,57.08224267,7.240229577E-05,16.19462336
13,0.0001019954,1.578529721E-05,49.59106445,0.0002812949,59.09361594,7.226314045E-05,18.39452578
13.2,0.0001021577,0.000015962,50.35400391,0.000325811,65.84084964,0.00007815,19.92584703
13.4,0.0001021769,1.555152764E-05,51.11694336,0.0003637364,76.97859545,8.931314116E-05,24.97098705
13.6,0.0001018776,1.538205341E-05,51.87988281,0.0003791148,90.71634033,0.0001013098,34.43849518
13.8,0.0001016173,1.547320994E-05,52.64282227,0.0003636079,105.1613341,0.0001096286,46.90066381
14,0.0001014284,1.524577305E-05,53.40576172,0.0003182808,118.1865502,0.0001116156,60.60025364
14.2,0.0001016151,1.480326651E-05,54.16870117,0.0002549169,126.5204667,0.0001069351,73.97594884
14.4,0.0001017949,1.450811446E-05,54.93164063,0.0001989891,125.0666701,9.745493934E-05,85.64751218
14.6,0.0001018346,1.451061527E-05,55.69458008,0.0001856114,114.5037488,8.658343502E-05,94.66723133
14.8,0.000101869,1.449631825E-05,56.45751953,0.0002170715,110.3084634,7.765421498E-05,101.4151372
15,0.0001021402,1.412776513E-05,57.22045898,0.0002569223,117.3825017,7.152861638E-05,108.1700037
15.2,0.000102089,1.426442133E-05,57.98339844,0.0002790435,130.9275562,6.572981171E-05,117.4480468
15.4,0.0001015977,1.479438606E-05,58.74633789,0.0002740657,147.5914659,5.664665341E-05,129.9924787
15.6,0.0001012395,0.000015449,59.50927734,0.0002424853,165.7798812,4.209794015E-05,144.9072589
15.8,0.0001013413,1.575311314E-05,60.2722168,0.0001905833,-175.2002917,2.221050896E-05,159.332896
16,0.0001012968,1.60051293E-05,61.03515625,0.000127668,-155.3128007,3.354660505E-06,72.36461042
16.2,0.0001008631,1.585114937E-05,61.7980957,6.393327462E-05,-132.2035631,2.516947691E-05,34.41838923
16.4,0.0001005791,1.570127838E-05,62.56103516,1.403433841E-05,-60.84184319,4.530484428E-05,52.46319383
16.6,0.0001007117,1.543885876E-05,63.32397461,4.081611764E-05,47.73553824,5.894108784E-05,72.97341089
16.8,0.0001009648,1.536531523E-05,64.08691406,6.948712174E-05,66.54618138,0.000063845,94.0971554
17,0.0001011973,1.549158197E-05,64.84985352,8.708825124E-05,75.71511529,5.918023636E-05,115.1409798
17.2,0.0001012814,1.547719598E-05,65.61279297,0.0001002289,79.5491819,4.560585703E-05,135.1474951
17.4,0.00010105,1.532291447E-05,66.37573242,0.0001165362,81.42281105,2.529288955E-05,150.200335
17.6,0.0001008653,1.5528599E-05,67.13867188,0.0001384458,85.17217221,7.144918573E-06,93.91122727
17.8,0.0001009968,1.562608E-05,67.90161133,0.000162027,92.22868961,2.724631701E-05,47.26470816
18,0.0001009544,1.53924442E-05,68.66455078,0.0001813402,101.8092346,4.969139883E-05,63.55451124
18.2,0.0001006679,1.513865257E-05,69.42749023,0.0001922971,112.542467,6.66728911E-05,85.0080394
18.4,0.0001002111,1.506287022E-05,70.19042969,0.0001942744,123.2449944,0.000075878,108.3587426
18.6,0.0001002288,1.471994261E-05,70.95336914,0.0001899887,133.268595,7.642283541E-05,133.288089
18.8,0.0001005444,1.450333329E-05,71.71630859,0.0001835326,142.9309089,6.895349438E-05,160.4139135
19,0.0001004939,1.436465377E-05,72.47924805,0.0001769411,153.7350633,5.583632412E-05,-168.4234775
19.2,0.0001002492,1.437970366E-05,73.2421875,0.0001679801,167.7899809,0.000041622,-128.9740057
19.4,0.0001000923,1.469589782E-05,74.00512695,0.000152094,-172.834485,3.363161937E-05,-77.02377647
19.6,0.0001002248,0.000015132,74.76806641,0.0001276654,-145.2928141,0.000036285,-25.6795916
19.8,0.0001003434,1.516944994E-05,75.53100586,0.0001032845,-103.9758971,4.309708529E-05,10.46686453
20,0.0001004243,1.494536777E-05,76.29394531,0.0001033287,-48.59647483,4.757042299E-05,34.19186288
20.2,0.0001004827,1.444020385E-05,77.05688477,0.0001377916,-0.3589246006,4.869924006E-05,48.26398291
20.4,0.0001006177,1.446123931E-05,77.81982422,0.0001832131,34.62375333,4.971412148E-05,53.65778828
20.6,0.0001007305,1.469029291E-05,78.58276367,0.000218602,62.37563204,5.543339026E-05,54.55348954
20.8,0.0001008759,1.505459837E-05,79.34570313,0.0002326868,85.85079136,6.718091429E-05,57.67766359
21,0.0001015516,1.519168087E-05,80.10864258,0.0002221296,105.3484684,8.18876708E-05,65.15751504
21.2,0.0001019854,1.516832183E-05,80.87158203,0.0001922731,119.1646634,9.602673649E-05,75.39165335
21.4,0.0001021765,1.48874633E-05,81.63452148,0.0001594594,123.728577,0.0001078026,86.60338327
21.6,0.0001025328,0.000014456,82.39746094,0.0001491688,119.1504776,0.0001172113,97.86404885
21.8,0.0001028611,1.416133941E-05,83.16040039,0.0001696849,117.6890625,0.0001250785,109.1230745
22,0.0001025989,1.427614088E-05,83.92333984,0.000198,125.9793964,0.0001316386,120.9115848
22.2,0.0001019402,1.420452553E-05,84.6862793,0.0002111296,140.5776222,0.0001355976,133.7823854
22.4,0.0001016223,1.408741679E-05,85.44921875,0.0001982263,157.8575326,0.0001344466,147.8217654
22.6,0.0001018143,1.434064569E-05,86.2121582,0.0001582525,174.9916463,0.0001257347,162.4596398
22.8,0.0001020986,1.508977173E-05,86.97509766,9.838673807E-05,-173.373404,0.0001085102,176.2862402
23,0.0001021375,0.000016007,87.73803711,4.389177186E-05,161.202222,8.470039748E-05,-173.8086128
23.2,0.0001021768,1.648476478E-05,88.50097656,7.595367308E-05,109.7560097,6.153939175E-05,-174.9548099
23.4,0.0001021063,1.671819631E-05,89.26391602,0.0001353254,116.5556415,5.504576952E-05,168.1002836
23.6,0.0001022596,1.71988347E-05,90.02685547,0.0001793267,133.9572787,7.141083917E-05,159.4193077
23.8,0.0001021249,1.716852618E-05,90.78979492,0.0002004266,153.8662121,9.370250537E-05,167.1748106
24,0.0001013737,1.666675526E-05,91.55273438,0.0001981683,174.5175825,0.0001099372,-177.3632137
24.2,0.0001006314,1.632544616E-05,92.31567383,0.0001763635,-164.5789135,0.000115535,-158.8964334
24.4,0.0001007406,1.609944788E-05,93.07861328,0.0001412741,-143.2050469,0.0001098554,-139.7218327
24.6,0.0001011282,1.600238341E-05,93.84155273,9.981550713E-05,-119.8389253,0.000095065,-121.6446535
24.8,0.0001015604,1.633213498E-05,94.60449219,5.903341462E-05,-88.20153436,7.563687262E-05,-107.0368476
25,0.0001019161,1.642251136E-05,95.36743164,3.428688726E-05,-22.8793669,5.803420999E-05,-99.2323386
25.2,0.0001020995,1.640528397E-05,96.13037109,5.289330071E-05,47.75541224,4.91803093E-05,-98.46175091
25.4,0.0001020884,0.000016493,96.89331055,8.79522787E-05,81.71823182,5.00098952E-05,-94.73178065
25.6,0.0001018636,1.606608753E-05,97.65625,0.0001219676,106.1236791,5.369611751E-05,-80.62736431
25.8,0.0001013523,1.556089584E-05,98.41918945,0.0001496135,128.3965891,5.471954846E-05,-57.75631162
26,0.0001007641,1.529020824E-05,99.18212891,0.0001673755,150.4013118,5.171329001E-05,-28.45730458
26.2,0.0001003901,1.495126739E-05,99.94506836,0.0001732094,172.6936231,4.572220216E-05,6.380592324
26.4,0.0001005895,1.435965976E-05,100.7080078,0.0001671042,-164.5541557,3.86174387E-05,46.75086385
26.6,0.0001010207,1.371927705E-05,101.4709473,0.0001512285,-141.2714295,3.20786031E-05,93.03020678
26.8,0.0001014447,1.327471568E-05,102.2338867,0.0001294962,-117.3885833,2.742170749E-05,145.907173
27,0.0001020996,1.339537619E-05,102.9968262,0.0001066875,-92.83799998,2.641909153E-05,-155.3640676
27.2,0.0001019624,0.000014181,103.7597656,8.737190003E-05,-67.72060106,3.094356696E-05,-98.09951677
27.4,0.0001013091,1.488316879E-05,104.5227051,7.489105849E-05,-42.69022861,4.041052968E-05,-50.08660694
27.6,0.0001011633,0.000015097,105.2856445,7.070306435E-05,-19.03114055,5.226453308E-05,-11.07413795
27.8,0.0001013655,1.538065765E-05,106.048584,7.438810662E-05,2.411468101,6.391557251E-05,21.82783728
28,0.0001015781,1.551207826E-05,106.8115234,8.411689321E-05,22.08030825,7.326374687E-05,50.68252013
28.2,0.0001013925,1.519887737E-05,107.5744629,9.711949036E-05,40.85906427,7.877875971E-05,76.63493333
28.4,0.0001014712,1.455979758E-05,108.3374023,0.0001102277,59.21923627,7.957270206E-05,100.2250502
28.6,0.0001017467,0.000013943,109.1003418,0.0001205097,77.2238928,7.548065895E-05,121.5190903
28.8,0.0001018015,1.316218226E-05,109.8632813,0.0001257677,94.75371002,6.7163366E-05,140.0410161
29,0.0001013104,1.284957235E-05,110.6262207,0.0001247809,111.6189196,5.627538997E-05,154.5143266
29.2,0.0001011178,1.316861429E-05,111.3891602,0.0001173296,127.5578401,4.571822155E-05,162.7482963
29.4,0.0001013313,1.3473415E-05,112.1520996,0.0001041003,142.1478644,3.943077412E-05,163.878609
29.6,0.0001012941,1.365027503E-05,112.9150391,8.658152662E-05,154.5923471,0.000039579,164.0343389
29.8,0.0001010573,1.406750243E-05,113.6779785,6.705642819E-05,163.2389322,4.3360089E-05,171.1119015
30,0.0001007529,1.434905335E-05,114.440918,4.888663394E-05,164.6300254,0.000046394,-174.2932494
30.2,0.0001004993,1.458357616E-05,115.2038574,0.000037173,154.0667414,4.627016301E-05,-154.3248079
30.4,0.0001005467,1.44647283E-05,115.9667969,3.642794807E-05,137.3536928,4.268059966E-05,-130.3308697
30.6,0.0001007423,1.441914713E-05,116.7297363,4.312910374E-05,129.6824805,3.679331645E-05,-102.7742846
30.8,0.0001008217,1.40472959E-05,117.4926758,5.079594417E-05,131.227662,3.055426799E-05,-72.13030944
31,0.0001007861,1.354391733E-05,118.2556152,5.640660503E-05,137.3921055,2.571781378E-05,-40.75754188
31.2,0.0001007819,0.000013556,119.0185547,0.000059003,145.7261938,0.000022938,-14.31663711
31.4,0.0001006962,1.410409738E-05,119.7814941,5.817348811E-05,155.0850692,2.245607027E-05,1.371723787
31.6,0.0001006866,0.000014678,120.5444336,5.361255974E-05,164.4825457,2.585860395E-05,7.67777597
31.8,0.000100846,1.522079054E-05,121.307373,4.544587876E-05,172.0385125,3.45877159E-05,13.97864134
32,0.0001010261,1.533756245E-05,122.0703125,3.527251299E-05,173.2371947,0.000047511,24.8650096
32.2,0.0001011194,1.503453696E-05,122.833252,2.838851877E-05,160.2793394,6.224330366E-05,38.92840709
32.4,0.000101261,1.446850462E-05,123.5961914,3.247750817E-05,142.1275872,0.000076576,54.27743931
32.6,0.0001013733,1.397143869E-05,124.3591309,4.452790963E-05,139.823808,8.886085578E-05,69.80899394
32.8,0.0001013059,1.400083582E-05,125.1220703,5.660559466E-05,148.7536917,9.802870547E-05,84.9826685
33,0.0001013916,1.449805641E-05,125.8850098,6.43748446E-05,161.8486605,0.0001034264,99.54913519
33.2,0.0001014191,1.483735317E-05,126.6479492,6.632105918E-05,175.0774927,0.0001046173,113.327227
33.4,0.0001014887,0.00001466,127.4108887,6.363672329E-05,-174.9168517,0.0001013698,125.9734306
33.6,0.0001018368,1.468005038E-05,128.1738281,0.000061073,-171.0621739,9.400307659E-05,136.7303207
33.8,0.0001019875,1.508525134E-05,128.9367676,6.61415567E-05,-171.4226535,8.408077289E-05,144.2379844
34,0.000101758,1.487153316E-05,129.699707,8.236080019E-05,-167.7780545,7.511231773E-05,146.9598565
34.2,0.0001015668,1.395741476E-05,130.4626465,0.00010585,-156.8124756,7.183410835E-05,145.5837025
34.4,0.0001019859,1.317836786E-05,131.2255859,0.0001309436,-140.8219024,7.60936706E-05,145.0574679
34.6,0.0001024181,0.000012845,131.9885254,0.0001533569,-122.3972147,8.39795711E-05,149.4644886
34.8,0.0001021251,1.271067974E-05,132.7514648,0.0001704911,-103.2785432,8.954467132E-05,158.3476787
35,0.0001012513,1.284746741E-05,133.5144043,0.000181486,-84.61382666,8.867873294E-05,169.326563
35.2,0.0001009831,1.317877038E-05,134.2773438,0.0001872794,-67.13639209,8.026172823E-05,179.6039328
35.4,0.0001013132,1.385462863E-05,135.0402832,0.0001902648,-51.10477696,6.667485099E-05,-174.6084603
35.6,0.0001017664,1.403683159E-05,135.8032227,0.0001931224,-36.1348898,5.476182855E-05,-178.3232224
35.8,0.0001018296,1.392760968E-05,136.5661621,0.0001969916,-21.26269047,5.403836527E-05,170.611418
36,0.0001012851,1.400464728E-05,137.3291016,0.0002002397,-5.442414104,6.457239441E-05,166.4954167
36.2,0.0001005477,1.380759025E-05,138.092041,0.0001990173,11.92700496,7.668810674E-05,172.2022436
36.4,0.0001003617,1.316505576E-05,138.8549805,0.0001891058,30.92076182,8.340346934E-05,-177.2715032
36.6,0.0001007596,1.321391452E-05,139.6179199,0.0001676941,51.32930372,8.240127204E-05,-165.8677189
36.8,0.0001010331,1.372164083E-05,140.3808594,0.0001343741,72.92392878,0.000074944,-156.6200725
37,0.0001009346,1.426083673E-05,141.1437988,9.133112828E-05,95.76043807,6.529485414E-05,-152.3803578
37.2,0.0001008083,1.490580297E-05,141.9067383,4.296081142E-05,121.7431028,0.00005953,-153.9821446
37.4,0.0001010779,1.550361711E-05,142.6696777,0.000008178,-87.18491865,6.123553713E-05,-156.3795539
